Timestamp,option price,Equity Price,Implied Vol
8/4/25 9:35 AM,1.545,6.39,0.963433353
8/4/25 9:40 AM,1.6088,6.49,0.968366502
8/4/25 9:45 AM,1.555,6.45,0.956217153
8/4/25 9:50 AM,1.6,6.32,0.996551072
8/4/25 9:55 AM,1.42,6.07,0.975442599
8/4/25 10:00 AM,1.44,6.19,0.960947777
8/4/25 10:05 AM,1.39,6.0977,0.958826564
8/4/25 10:10 AM,1.36,6,0.96520919
8/4/25 10:15 AM,1.31,5.8399,0.975283956
8/4/25 10:20 AM,1.255,5.7112,0.977248872
8/4/25 10:25 AM,1.19,5.6299,0.965685123
8/4/25 10:30 AM,1.1999,5.5908,0.977231956
8/4/25 10:35 AM,1.149,5.45,0.98251727
8/4/25 10:40 AM,1.12,5.36,0.987300828
8/4/25 10:45 AM,1.05,5.34,0.960214388
8/4/25 10:50 AM,1.0904,5.46,0.95528117
8/4/25 10:55 AM,1.1199,5.445,0.970904196
8/4/25 11:00 AM,1.12,5.4027,0.979056328
8/4/25 11:05 AM,1.11,5.4,0.975211771
8/4/25 11:10 AM,1.12,5.465,0.967155256
8/4/25 11:15 AM,1.18,5.526,0.981234862
8/4/25 11:20 AM,1.15,5.5,0.973405485
8/4/25 11:25 AM,1.19,5.5975,0.971848577
8/4/25 11:30 AM,1.2098,5.5988,0.979913578
8/4/25 11:35 AM,1.17,5.5918,0.964525663
8/4/25 11:40 AM,1.1399,5.6,0.950325162
8/4/25 11:45 AM,1.1499,5.61,0.952677827
8/4/25 11:50 AM,1.15,5.6,0.954585685
8/4/25 11:55 AM,1.17,5.535,0.9752971
8/4/25 12:00 PM,1.15,5.575,0.959266193
8/4/25 12:05 PM,1.17,5.525,0.977213158
8/4/25 12:10 PM,1.1442,5.505,0.970013596
8/4/25 12:15 PM,1.1399,5.53,0.963450356
8/4/25 12:20 PM,1.12,5.5101,0.958696164
8/4/25 12:25 PM,1.13,5.485,0.967731337
8/4/25 12:30 PM,1.1281,5.5,0.964079698
8/4/25 12:35 PM,1.1145,5.495,0.95918791
8/4/25 12:40 PM,1.14,5.455,0.977775281
8/4/25 12:45 PM,1.15,5.44,0.984989559
8/4/25 12:50 PM,1.1499,5.495,0.974391983
8/4/25 12:55 PM,1.1286,5.4976,0.964768728
8/4/25 1:00 PM,1.13,5.4698,0.970649471
8/4/25 1:05 PM,1.12,5.4488,0.970332626
8/4/25 1:10 PM,1.08,5.425,0.957461088
8/4/25 1:15 PM,1.155,5.435,0.988146763
8/4/25 1:20 PM,1.1,5.4355,0.964195281
8/4/25 1:25 PM,1.1399,5.445,0.979690096
8/4/25 1:30 PM,1.1166,5.465,0.965804324
8/4/25 1:35 PM,1.115,5.4512,0.967736013
8/4/25 1:40 PM,1.1192,5.435,0.972648309
8/4/25 1:45 PM,1.115,5.4552,0.966984533
8/4/25 1:50 PM,1.1173,5.465,0.966123424
8/4/25 1:55 PM,1.1499,5.475,0.978271325
8/4/25 2:00 PM,1.1487,5.48,0.976802153
8/4/25 2:10 PM,1.136,5.475,0.972302743
8/4/25 2:15 PM,1.15,5.475,0.978331295
8/4/25 2:25 PM,1.14,5.475,0.974037279
8/4/25 2:30 PM,1.13,5.505,0.964050013
8/4/25 2:35 PM,1.135,5.505,0.966196283
8/4/25 2:40 PM,1.14,5.5241,0.964727526
8/4/25 2:45 PM,1.12,5.495,0.961659397
8/4/25 2:50 PM,1.14,5.515,0.966455942
8/4/25 2:55 PM,1.14,5.5452,0.960765238
8/4/25 3:00 PM,1.1584,5.535,0.970520993
8/4/25 3:05 PM,1.16,5.5686,0.964851065
8/4/25 3:10 PM,1.14,5.555,0.958937917
8/4/25 3:15 PM,1.1499,5.575,0.959386301
8/4/25 3:20 PM,1.154,5.645,0.948083172
8/4/25 3:25 PM,1.18,5.605,0.966436103
8/4/25 3:30 PM,1.155,5.6,0.956872336
8/4/25 3:35 PM,1.17,5.585,0.966007208
8/4/25 3:40 PM,1.155,5.605,0.955947313
8/4/25 3:45 PM,1.15,5.595,0.955713054
8/4/25 3:50 PM,1.164684,5.59,0.962839167
8/4/25 3:55 PM,1.1504,5.635,0.948456635
8/4/25 4:00 PM,1.17,5.645,0.954794024
8/5/25 9:30 AM,1.15,5.6796,0.940941586
8/5/25 9:35 AM,1.14,5.525,0.965508836
8/5/25 9:40 AM,1.1,5.59,0.93639727
8/5/25 9:45 AM,1.1384,5.6,0.950787817
8/5/25 9:55 AM,1.15,5.6899,0.939075316
8/5/25 10:00 AM,1.175,5.7,0.947579966
8/5/25 10:05 AM,1.1796,5.69,0.951334335
8/5/25 10:10 AM,1.1616,5.565,0.967168059
8/5/25 10:15 AM,1.07,5.525,0.935557443
8/5/25 10:20 AM,1.095,5.4899,0.952833376
8/5/25 10:25 AM,1.1,5.485,0.955912723
8/5/25 10:30 AM,1.09,5.4947,0.949788788
8/5/25 10:40 AM,1.08,5.4065,0.962032766
8/5/25 10:45 AM,1.07,5.3202,0.974103094
8/5/25 10:50 AM,1.06,5.305,0.972571039
8/5/25 10:55 AM,1.09,5.315,0.984020687
8/5/25 11:00 AM,1.086,5.345,0.976444201
8/5/25 11:05 AM,1.09,5.3688,0.97363859
8/5/25 11:10 AM,1.0947,5.34,0.981270626
8/5/25 11:15 AM,1.085,5.325,0.979875133
8/5/25 11:25 AM,1.08,5.3263,0.977410211
8/5/25 11:30 AM,1.07,5.335,0.971296575
8/5/25 11:35 AM,1.08,5.315,0.979603031
8/5/25 11:40 AM,1.07,5.2763,0.982645344
8/5/25 11:45 AM,1.07,5.31,0.976120027
8/5/25 11:50 AM,1.07,5.2675,0.984367467
8/5/25 12:10 PM,1.07,5.2526,0.987294166
8/5/25 12:15 PM,1.1,5.255,1.000329489
8/5/25 12:20 PM,1.0999,5.26,0.999299794
8/5/25 12:30 PM,1.09,5.255,0.995846231
8/5/25 12:45 PM,1.08,5.21,1.000241251
8/5/25 12:50 PM,1.05,5.1827,0.991977638
8/5/25 12:55 PM,1.045,5.205,0.985316085
8/5/25 1:00 PM,1.04,5.1912,0.985741528
8/5/25 1:05 PM,1.04,5.235,0.977204036
8/5/25 1:10 PM,1.05,5.23,0.982716635
8/5/25 1:15 PM,1.0599,5.305,0.972648794
8/5/25 1:20 PM,1.06,5.33,0.967900747
8/5/25 1:25 PM,1.06,5.335,0.966948886
8/5/25 1:30 PM,1.07,5.3233,0.973645975
8/5/25 1:35 PM,1.05,5.3118,0.966935372
8/5/25 1:40 PM,1.03,5.37,0.947020428
8/5/25 1:45 PM,1.06,5.3449,0.965075906
8/5/25 1:50 PM,1.06,5.365,0.961256489
8/5/25 1:55 PM,1.05,5.355,0.958727219
8/5/25 2:00 PM,1.05,5.35,0.959679166
8/5/25 2:05 PM,1.02,5.2881,0.958020585
8/5/25 2:10 PM,1.03,5.3,0.96025796
8/5/25 2:15 PM,1.025,5.295,0.95896712
8/5/25 2:20 PM,1.03,5.275,0.965037229
8/5/25 2:25 PM,1.03,5.275,0.965041421
8/5/25 2:30 PM,1.0252,5.2699,0.963855561
8/5/25 2:35 PM,1.02,5.245,0.966276403
8/5/25 2:40 PM,1.02,5.2451,0.966261406
8/5/25 2:45 PM,1.01,5.2347,0.963715136
8/5/25 2:50 PM,1,5.2221,0.961572325
